marque,etat,annee,kilometrage,carburant,prix
Yamaha,Neuf,2022,1300,Essence,4800000
SYM,Venant,2016,15000,Essence,500000
Zhongyu,Neuf,2019,0,Essence,2000000
Autre,Venant,2021,Autre,Autre,230000
Piaggio,Venant,2003,Essence,Essence,380000
Honda,D'occasion,2019,10600,Essence,3700000
BMW,Venant,2020,4000,"4,000 km",3500000
BMW,Venant,2021,17000,"17,000 km",2500000
Shineray,D'occasion,2016,7500,Essence,240000
SYM,Neuf,2018,125,125 km,400000
Ducati,Neuf,2022,Essence,Essence,6500000
KTM,Neuf,2023,14000,Essence,5200000
Yamaha,D'occasion,2008,Essence,Essence,1800000
Autre,Neuf,2023,Essence,Essence,1300000
Autre,D'occasion,2023,0,Essence,1
Yamaha,D'occasion,2007,Essence,Essence,800000
Yamaha,Venant,2020,16000,Jante aluminium,4200000
Kymco,Venant,2024,Essence,Essence,490000
BMW,D'occasion,2022,14000,Essence,3500000
Piaggio,Venant,2017,50000,Essence,600000
Lifan,Neuf,2024,0,Porte-bagages,1
TVS Motor,Neuf,2024,0,Porte-bagages,800000
Lifan,Neuf,2024,0,Porte-bagages,1550000
Autre,Neuf,2023,0,Autre,650000
BMW,Venant,2020,8000,Essence,2000000
Puch,Neuf,2023,0,Air conditionné,500000
Piaggio,D'occasion,2022,10000,Essence,2500000
Yamaha,Venant,2018,Essence,Essence,500000
Yamaha,Neuf,2019,Essence,Essence,500000
Kymco,Neuf,2019,Diesel,Diesel,500000
BMW,Venant,2018,29000,Jante aluminium,32000
Yamaha,Venant,2017,Essence,Essence,4300000
KTM,D'occasion,2012,Essence,Essence,240000
Honda,Venant,2015,Essence,Essence,1100000
Lifan,Neuf,2024,0,Porte-bagages,1
Bajaj,Neuf,2024,0,Porte-bagages,1
Lifan,Neuf,2024,0,Porte-bagages,1
Honda,Neuf,2020,0,Essence,1
Piaggio,Venant,2022,10000,Diesel,2400000
Lifan,Neuf,2024,0,Porte-bagages,1
Autre,Venant,2024,0,Autre,22000
Bajaj,Neuf,2024,0,"Porte-bagages

Marche pied

Sabot antivol roue",1
Autre,Neuf,2023,Autre,Autre,51500
Honda,Neuf,2023,14000,Essence,5400000
