marque,etat,annee,kilometrage,carburant,prix
BMW,Venant,2023,900,900 km,5900000
Autre,Neuf,2023,0,Autre,31000
Bajaj,Neuf,2023,0,Système de freinage antiblocage,1
Autre,Neuf,2020,0,Radio AM/FM,595000
KTM,Neuf,2020,0,Jante aluminium,580000
Autre,Neuf,2023,0,Système de freinage antiblocage,1
Autre,Neuf,2023,0,Airbags,1
KTM,Neuf,2023,0,Système de freinage antiblocage,460000
Autre,Neuf,2023,0,Sabot antivol roue,12000
Suzuki,D'occasion,2005,11000,Essence,375000
Autre,Neuf,2023,Autre,Autre,305000
Suzuki,Venant,2017,Essence,Essence,2200000
Yamaha,Venant,2019,Essence,Essence,1700000
Yamaha,D'occasion,2018,99000,"Air conditionné

Radio AM/FM

Système de freinage antiblocage

Rétroviseurs à commande électrique",900000
Honda,Venant,2019,8200,Essence,4850000
BMW,D'occasion,2016,52000,Jante aluminium,1200000
Autre,Neuf,2023,Autre,Autre,8500
Honda,Venant,2021,6000,Essence,1950000
