marque,etat,annee,kilometrage,carburant,prix
Autre,Neuf,2024,0,Porte-bagages,1
Kymco,Venant,2019,Essence,Essence,400000
Yamaha,Venant,2016,125,125 km,500000
Honda,Venant,2022,0,Diesel,1000000
Honda,D'occasion,2000,Essence,Porte-bagages,600000
Piaggio,Venant,2008,1246,Airbags,250000
Polaris,Neuf,2021,10500,"Jante aluminium

Bullbar",13900000
Polaris,D'occasion,2015,20000,Jante aluminium,12885000
Kawasaki,D'occasion,2010,9000,Essence,3500000
BMW,D'occasion,2009,28000,Essence,1650000
Kawasaki,D'occasion,2008,Essence,Essence,1400000
Bajaj,Neuf,2024,0,Porte-bagages,1
Honda,D'occasion,2022,Essence,Essence,5800000
Kawasaki,Venant,2008,Autre,Autre,390000
Yamaha,Venant,2022,7000,Essence,4500000
Yamaha,Venant,2022,Essence,Essence,4500000
BMW,D'occasion,2017,21500,Essence,2500000
Yamaha,D'occasion,2013,Essence,Essence,300000
Kymco,Venant,2013,22000,Essence,650000
Honda,Neuf,2022,10500,Essence,5250000
Piaggio,Venant,1920,14000,Essence,670000
Yamaha,Venant,2023,8900,Essence,4500000
Suzuki,Venant,2005,Essence,Essence,550000
Yamaha,D'occasion,2009,Essence,Airbags,350000
Autre,Venant,2022,Essence,Essence,350000
Polaris,D'occasion,2017,14000,Essence,12500000
Ducati,Venant,2017,15000,Essence,2500000
Autre,Réconditionné,2024,0,"Jante aluminium

Feux de brouillard

Feux de brouillard (avant)

Porte-bagages

Sabot antivol roue",1
CF Moto,D'occasion,2017,10565,"Direction assistée

Treuil",3700000
Autre,Neuf,2024,0,"Airbags

Porte-bagages",1
Aprilia,Neuf,2020,0,Essence,1
BMW,Venant,2021,26000,"Système de freinage antiblocage

Keyless Entry

Ampoules xenon",3500000
Honda,D'occasion,2018,Essence,Essence,3000000
Haojue,Neuf,2023,400,Essence,560000
Autre,Neuf,2024,Essence,"Airbags

Jante aluminium

Système de freinage antiblocage

Porte-gobelet

Direction assistée

Porte-bagages

Marche pied

Thumbstart Ignition

Sabot antivol roue",500000
Honda,D'occasion,2011,Essence,Essence,1200000
BMW,Venant,2014,12000,Essence,2100000
BMW,Venant,2023,500,Essence,5900000
Yamaha,Venant,2023,9500,Ampoules xenon,7200000
TM,Venant,2020,Essence,Essence,3500000
